TARGET,EOM,SMA32_CD,SMA64_CD,MIN_MAX_MID,RESLP32,BB20_CDP,RESLP6,RSIV32,SQZ,REGP6_GTE_MID,REGP32_GTE_MID,REGP64_GTE_MID,SMA6_GTE_SMA32,SMA32_GTE_SMA64,SMA6_GTE_MID,SMA32_GTE_MID,SMA64_GTE_MID,EMA32_GTE_SMA32,HIGH_GTE_BB20U,LOW_LTE_BB20L,REGP6+,REGP32+,SMA6+,SMA32+,SMA64+,EOM+,MID+,HIGH+,LOW+,CLOSE
-,4.0,8.0,3.0,6.0,6.0,8.0,3.0,4.0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
-,4.0,8.0,3.0,5.0,5.0,6.0,0.0,4.0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
-,4.0,7.0,3.0,4.0,4.0,5.0,0.0,4.0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-,4.0,7.0,3.0,4.0,4.0,3.0,0.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0
-,4.0,6.0,3.0,4.0,4.0,0.0,3.0,4.0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0
-,4.0,6.0,3.0,5.0,5.0,0.0,5.0,4.0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
-,4.0,6.0,3.0,3.0,3.0,0.0,0.0,4.0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
-,4.0,6.0,3.0,3.0,3.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
--,4.0,5.0,3.0,2.0,2.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1
-,4.0,5.0,3.0,2.0,2.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
--,4.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1
-,4.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0
-,4.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
-,4.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0
-,4.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
-,4.0,1.0,1.0,0.0,0.0,2.0,5.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
--,4.0,1.0,2.0,2.0,2.0,3.0,9.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1
--,3.0,0.0,2.0,3.0,3.0,2.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1
-,3.0,1.0,3.0,2.0,2.0,2.0,6.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
-,4.0,2.0,4.0,2.0,2.0,1.0,7.0,4.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1
-,4.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
-,4.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
-,4.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
-,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
-,4.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
-,4.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
-,3.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
-,3.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
=,3.0,0.0,1.0,0.0,0.0,8.0,0.0,3.0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
=,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
+,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
+,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
-,3.0,0.0,0.0,2.0,2.0,9.0,7.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
-,3.0,0.0,0.0,3.0,3.0,9.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
+,4.0,1.0,0.0,1.0,1.0,9.0,5.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0
-,4.0,1.0,0.0,1.0,1.0,9.0,5.0,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
--,4.0,3.0,1.0,4.0,4.0,9.0,9.0,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
--,4.0,6.0,3.0,5.0,5.0,9.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0
--,4.0,7.0,4.0,5.0,5.0,9.0,9.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
--,4.0,9.0,5.0,6.0,6.0,9.0,9.0,4.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
--,4.0,9.0,6.0,5.0,5.0,8.0,7.0,4.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1
--,4.0,9.0,6.0,4.0,4.0,7.0,0.0,4.0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0
--,4.0,9.0,6.0,3.0,3.0,7.0,0.0,4.0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
--,4.0,9.0,6.0,4.0,4.0,6.0,3.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
--,5.0,9.0,6.0,3.0,3.0,5.0,1.0,4.0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
--,5.0,8.0,5.0,3.0,3.0,4.0,0.0,4.0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
--,5.0,8.0,4.0,2.0,2.0,3.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
--,5.0,7.0,4.0,2.0,2.0,2.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
--,5.0,7.0,4.0,2.0,2.0,1.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
--,5.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
--,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0
--,5.0,5.0,2.0,1.0,1.0,0.0,3.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
--,5.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
--,5.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
--,4.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
-,4.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
-,4.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1
-,4.0,3.0,0.0,0.0,0.0,6.0,1.0,3.0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-,4.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
--,4.0,3.0,0.0,1.0,1.0,9.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
--,4.0,3.0,0.0,2.0,2.0,9.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
--,4.0,3.0,1.0,0.0,0.0,9.0,3.0,3.0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
--,4.0,3.0,1.0,0.0,0.0,8.0,0.0,3.0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
-,4.0,2.0,1.0,0.0,0.0,8.0,0.0,3.0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
-,4.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
-,4.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0
-,4.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
-,4.0,0.0,0.0,1.0,1.0,7.0,5.0,3.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1
-,3.0,0.0,0.0,1.0,1.0,6.0,9.0,3.0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
-,4.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
-,5.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0
-,5.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
--,5.0,0.0,0.0,2.0,2.0,6.0,8.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1
-,6.0,1.0,1.0,1.0,1.0,4.0,8.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
-,6.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-,6.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0
-,6.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1
-,5.0,4.0,2.0,1.0,1.0,0.0,4.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0
-,5.0,4.0,2.0,1.0,1.0,0.0,5.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1
-,4.0,5.0,2.0,1.0,1.0,0.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0
-,4.0,7.0,3.0,3.0,3.0,0.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
-,3.0,9.0,3.0,1.0,1.0,0.0,4.0,4.0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-,3.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
=,3.0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
+,4.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
=,4.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
+,4.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
+,4.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
-,4.0,5.0,1.0,1.0,1.0,1.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
-,5.0,6.0,1.0,2.0,2.0,1.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
-,4.0,7.0,2.0,2.0,2.0,1.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
+,4.0,8.0,3.0,1.0,1.0,2.0,4.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
+,5.0,9.0,3.0,0.0,0.0,2.0,0.0,4.0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
+,5.0,9.0,3.0,0.0,0.0,3.0,0.0,3.0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0
+,5.0,8.0,2.0,0.0,0.0,3.0,1.0,4.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
+,5.0,8.0,2.0,2.0,2.0,3.0,5.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
=,5.0,8.0,2.0,3.0,3.0,4.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1
=,4.0,9.0,3.0,3.0,3.0,4.0,9.0,4.0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
=,5.0,9.0,3.0,3.0,3.0,4.0,9.0,4.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
+,4.0,9.0,4.0,2.0,2.0,4.0,6.0,4.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0
=,5.0,9.0,5.0,3.0,3.0,3.0,9.0,4.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
-,5.0,9.0,6.0,6.0,6.0,0.0,9.0,4.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
-,5.0,9.0,7.0,6.0,6.0,0.0,9.0,4.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
-,5.0,9.0,8.0,7.0,7.0,0.0,9.0,4.0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1
-,5.0,9.0,9.0,8.0,8.0,0.0,9.0,4.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
--,5.0,9.0,9.0,9.0,9.0,2.0,9.0,5.0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
--,4.0,9.0,9.0,9.0,9.0,4.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1
-,5.0,9.0,9.0,8.0,8.0,6.0,6.0,4.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
--,5.0,9.0,9.0,8.0,8.0,8.0,2.0,4.0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1
-,5.0,9.0,9.0,7.0,7.0,9.0,0.0,4.0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
-,5.0,9.0,9.0,4.0,4.0,9.0,0.0,4.0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0
-,5.0,8.0,9.0,4.0,4.0,9.0,0.0,4.0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1
-,5.0,7.0,8.0,4.0,4.0,9.0,0.0,4.0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-,5.0,6.0,8.0,2.0,2.0,9.0,0.0,4.0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
-,5.0,5.0,7.0,2.0,2.0,8.0,0.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-,4.0,4.0,6.0,1.0,1.0,8.0,0.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
-,4.0,4.0,6.0,2.0,2.0,8.0,3.0,4.0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
-,4.0,4.0,6.0,2.0,2.0,8.0,4.0,4.0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
-,4.0,4.0,6.0,3.0,3.0,9.0,9.0,4.0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
-,5.0,4.0,7.0,4.0,4.0,8.0,9.0,4.0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1
-,5.0,4.0,7.0,2.0,2.0,8.0,4.0,4.0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
-,5.0,4.0,7.0,2.0,2.0,9.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
-,5.0,3.0,8.0,2.0,2.0,9.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1
-,5.0,3.0,8.0,2.0,2.0,9.0,0.0,4.0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
=,5.0,3.0,7.0,0.0,0.0,9.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
=,5.0,2.0,7.0,0.0,0.0,9.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0
+,4.0,1.0,7.0,0.0,0.0,6.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
+,5.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
+,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
+,4.0,0.0,6.0,1.0,1.0,0.0,6.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
+,4.0,0.0,6.0,2.0,2.0,0.0,9.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1
+,4.0,0.0,6.0,1.0,1.0,0.0,5.0,4.0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
+,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
+,4.0,0.0,6.0,1.0,1.0,0.0,5.0,4.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1
+,4.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
+,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
++,5.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
++,4.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0
++,4.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1
++,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
+,3.0,0.0,5.0,1.0,1.0,0.0,6.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
+,3.0,1.0,5.0,4.0,4.0,0.0,9.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
+,3.0,2.0,6.0,5.0,5.0,0.0,9.0,4.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
+,3.0,5.0,7.0,9.0,9.0,0.0,9.0,5.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
+,3.0,8.0,8.0,7.0,7.0,0.0,7.0,5.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
+,3.0,9.0,9.0,9.0,9.0,1.0,9.0,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
=,3.0,9.0,9.0,9.0,9.0,3.0,9.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
+,3.0,9.0,9.0,9.0,9.0,5.0,9.0,5.0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
+,3.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
+,4.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
+,4.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
+,5.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
+,5.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
+,5.0,9.0,9.0,8.0,8.0,9.0,2.0,5.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
+,5.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
+,5.0,9.0,9.0,9.0,9.0,9.0,7.0,5.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
+,5.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
=,4.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0
=,4.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-,3.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
=,3.0,9.0,9.0,9.0,9.0,9.0,6.0,5.0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1
+,4.0,9.0,9.0,8.0,8.0,8.0,2.0,5.0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1
+,4.0,9.0,9.0,7.0,7.0,7.0,0.0,5.0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
+,4.0,8.0,9.0,7.0,7.0,6.0,0.0,5.0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
+,4.0,8.0,9.0,7.0,7.0,4.0,1.0,5.0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
=,5.0,7.0,8.0,9.0,9.0,2.0,9.0,5.0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
=,5.0,7.0,8.0,9.0,9.0,0.0,9.0,5.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
=,5.0,7.0,9.0,9.0,9.0,0.0,9.0,5.0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1
=,4.0,7.0,9.0,8.0,8.0,0.0,6.0,5.0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
=,5.0,8.0,9.0,9.0,9.0,0.0,8.0,5.0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-,5.0,8.0,9.0,9.0,9.0,0.0,9.0,5.0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
-,5.0,8.0,9.0,9.0,9.0,0.0,9.0,5.0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
-,5.0,8.0,9.0,9.0,9.0,1.0,9.0,6.0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1
-,5.0,8.0,9.0,9.0,9.0,2.0,7.0,5.0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-,6.0,8.0,9.0,9.0,9.0,2.0,9.0,5.0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
-,5.0,9.0,9.0,9.0,9.0,2.0,9.0,5.0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
